participant,task,total_points,upper region, points in upper region,% upper region,lower region,points in lower region,% lower region,critic region,points in critic region,% critic region,entries in critic region
141,CO1.2,62,[0-318],4,0.06451612903225806,[682-1079],27,0.43548387096774194,[319-681],31,0.5,8
141,AV2.1,29,[0-648],11,0.3793103448275862,[682-1079],16,0.5517241379310345,[649-681],2,0.06896551724137931,2
141,AV1.2,142,[0-582],65,0.45774647887323944,[715-1079],36,0.2535211267605634,[583-714],41,0.2887323943661972,11
175,LACF2.1,84,[0-692],11,0.13095238095238096,[728-1079],41,0.4880952380952381,[693-727],32,0.38095238095238093,10
175,AV1.2,46,[0-582],7,0.15217391304347827,[715-1079],23,0.5,[583-714],15,0.32608695652173914,5
175,LACF1.2,32,[0-692],11,0.34375,[798-1079],14,0.4375,[693-797],7,0.21875,2
175,AV2.1,41,[0-648],5,0.12195121951219512,[682-1079],20,0.4878048780487805,[649-681],16,0.3902439024390244,2
175,CO2.1,91,[0-727],9,0.0989010989010989,[763-1079],40,0.43956043956043955,[728-762],42,0.46153846153846156,11
175,CO1.2,37,[0-318],2,0.05405405405405406,[682-1079],20,0.5405405405405406,[319-681],15,0.40540540540540543,3
183,CO2.2,60,[0-412],3,0.05,[658-1079],43,0.7166666666666667,[413-657],14,0.23333333333333334,3
183,AV2.2,71,[0-582],22,0.30985915492957744,[682-1079],29,0.4084507042253521,[583-681],20,0.28169014084507044,12
183,AV1.1,134,[0-681],65,0.48507462686567165,[715-1079],44,0.3283582089552239,[682-714],25,0.1865671641791045,14
183,CO1.1,52,[0-648],11,0.21153846153846154,[682-1079],25,0.4807692307692308,[649-681],16,0.3076923076923077,10
183,LACF2.2,132,[0-517],16,0.12121212121212122,[693-1079],51,0.38636363636363635,[518-692],65,0.49242424242424243,22
183,LACF1.1,54,[0-797],32,0.5925925925925926,[833-1079],20,0.37037037037037035,[798-832],2,0.037037037037037035,2
161,AV1.2,48,[0-582],16,0.3333333333333333,[715-1079],17,0.3541666666666667,[583-714],13,0.2708333333333333,3
161,LACF2.1,307,[0-692],188,0.6123778501628665,[728-1079],56,0.18241042345276873,[693-727],63,0.20521172638436483,41
161,LACF1.2,28,[0-692],16,0.5714285714285714,[798-1079],4,0.14285714285714285,[693-797],8,0.2857142857142857,3
161,CO1.2,36,[0-318],6,0.16666666666666666,[682-1079],18,0.5,[319-681],12,0.3333333333333333,4
161,AV2.1,20,[0-648],7,0.35,[682-1079],11,0.55,[649-681],2,0.1,1
161,CO2.1,55,[0-727],29,0.5272727272727272,[763-1079],24,0.43636363636363634,[728-762],2,0.03636363636363636,2
173,CO2.2,37,[0-412],4,0.10810810810810811,[658-1079],24,0.6486486486486487,[413-657],9,0.24324324324324326,1
173,LACF2.2,139,[0-517],12,0.08633093525179857,[693-1079],69,0.49640287769784175,[518-692],58,0.4172661870503597,18
173,CO1.1,101,[0-648],5,0.04950495049504951,[682-1079],64,0.6336633663366337,[649-681],32,0.31683168316831684,15
173,AV2.2,45,[0-582],6,0.13333333333333333,[682-1079],22,0.4888888888888889,[583-681],17,0.37777777777777777,2
173,AV1.1,130,[0-681],55,0.4230769230769231,[715-1079],32,0.24615384615384617,[682-714],42,0.3230769230769231,15
173,LACF1.1,41,[0-797],16,0.3902439024390244,[833-1079],7,0.17073170731707318,[798-832],18,0.43902439024390244,8
